date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2022-05-25,61.07,68.5,60.99,67.17,67.17,11061966.0,0.0,1.0
2022-05-24,64.56,64.56,59.12,61.36,61.36,10714877.0,0.0,1.0
2022-05-23,65.54,68.65,62.35,66.1,66.1,12055671.0,0.0,1.0
2022-05-20,69.37,70.74,62.05,66.15,66.15,15166300.0,0.0,1.0
2022-05-19,65.0,70.99,63.61,67.42,67.42,15410061.0,0.0,1.0
2022-05-18,67.69,71.81,61.94,63.03,63.03,17422703.0,0.0,1.0
2022-05-17,66.2,70.5,63.111,70.0,70.0,15868005.0,0.0,1.0
2022-05-16,68.06,68.08,60.51,61.7,61.7,18685889.0,0.0,1.0
2022-05-13,69.26,74.25,65.5,67.87,67.87,38264813.0,0.0,1.0
2022-05-12,48.54,60.3,40.83,58.5,58.5,58789009.0,0.0,1.0
2022-05-11,54.845,61.28,50.15,53.72,53.72,67080210.0,0.0,1.0
2022-05-10,87.0,89.38,70.19,72.99,72.99,31780044.0,0.0,1.0
2022-05-09,96.0,96.43,81.78,83.51,83.51,16845410.0,0.0,1.0
2022-05-06,112.5,112.5,100.25,103.74,103.74,9026454.0,0.0,1.0
2022-05-05,125.0,125.64,112.05,114.25,114.25,7324390.0,0.0,1.0
2022-05-04,124.0,132.81,116.2,130.15,130.15,6460331.0,0.0,1.0
2022-05-03,120.23,129.4,119.97,123.56,123.56,5053170.0,0.0,1.0
2022-05-02,113.07,122.29,111.8,121.34,121.34,6229416.0,0.0,1.0
2022-04-29,121.1,129.09,112.14,112.71,112.71,5760916.0,0.0,1.0
2022-04-28,123.69,126.39,113.32,122.69,122.69,8070894.0,0.0,1.0
2022-04-27,125.28,130.71,121.98,122.55,122.55,4658455.0,0.0,1.0
2022-04-26,135.31,136.77,126.515,127.15,127.15,3636084.0,0.0,1.0
2022-04-25,130.01,137.35,129.29,135.14,135.14,4066524.0,0.0,1.0
2022-04-22,137.29,141.1999,131.25,131.52,131.52,5162150.0,0.0,1.0
2022-04-21,151.97,153.44,135.31,137.32,137.32,6252855.0,0.0,1.0
2022-04-20,154.925,154.96,144.85,147.13,147.13,3440405.0,0.0,1.0
2022-04-19,146.02,152.1,144.45,151.27,151.27,2915996.0,0.0,1.0
2022-04-18,145.45,149.5,140.5303,145.16,145.16,4668692.0,0.0,1.0
2022-04-14,153.54,154.0,146.82,147.29,147.29,4082228.0,0.0,1.0
2022-04-13,149.03,156.1599,147.8,154.79,154.79,3740506.0,0.0,1.0
2022-04-12,158.07,162.44,149.41,149.85,149.85,4654416.0,0.0,1.0
2022-04-11,156.57,157.555,151.73,153.87,153.87,4305772.0,0.0,1.0
2022-04-08,165.21,166.0,160.1325,160.94,160.94,2950965.0,0.0,1.0
2022-04-07,166.71,169.4152,160.675,166.19,166.19,3093646.0,0.0,1.0
2022-04-06,172.83,174.325,165.01,166.84,166.84,4675252.0,0.0,1.0
2022-04-05,189.76,191.325,176.26,177.17,177.17,4986643.0,0.0,1.0
2022-04-04,187.34,193.07,186.16,191.65,191.65,2495856.0,0.0,1.0
2022-04-01,189.86,191.87,184.385,186.96,186.96,2975933.0,0.0,1.0
2022-03-31,197.25,198.08,189.56,189.86,189.86,2999155.0,0.0,1.0
2022-03-30,201.29,206.33,194.755,196.7,196.7,3775930.0,0.0,1.0
2022-03-29,198.95,206.79,194.05,204.53,204.53,4811453.0,0.0,1.0
2022-03-28,193.31,203.27,193.01,201.41,201.41,6623976.0,0.0,1.0
2022-03-25,192.0,195.7,182.7953,186.71,186.71,3584038.0,0.0,1.0
2022-03-24,185.26,192.0,179.5,190.19,190.19,3536524.0,0.0,1.0
2022-03-23,184.72,189.55,181.8,183.11,183.11,2311942.0,0.0,1.0
2022-03-22,180.498,188.8142,178.5,186.08,186.08,4055733.0,0.0,1.0
2022-03-21,181.8,183.59,171.7,176.81,176.81,4144672.0,0.0,1.0
2022-03-18,175.03,186.69,175.0,185.94,185.94,4613920.0,0.0,1.0
2022-03-17,170.73,177.5,168.0,177.22,177.22,2975921.0,0.0,1.0
2022-03-16,160.465,173.065,160.0,172.53,172.53,5974284.0,0.0,1.0
